sample_id,sample_position,geometry,mode,teacher_index,answer_index,approximate_index,candidate_kl,prediction_match,baseline_correct,approximate_correct,harmful,quotient_token_count,token_retention
vsi_question_3132,73,flat_contiguous_4,positioned_equal_mass,3,1,0,0.034279122948646545,0,0,0,0,392,0.25
vsi_question_3132,73,flat_contiguous_4,positioned_group_mass,3,1,0,0.06192032992839813,0,0,0,0,392,0.25
vsi_question_3132,73,spatial_2x2,positioned_equal_mass,3,1,0,0.12112538516521454,0,0,0,0,392,0.25
vsi_question_3132,73,spatial_2x2,positioned_group_mass,3,1,3,0.09008243680000305,1,0,0,0,392,0.25
vsi_question_5084,74,flat_contiguous_4,positioned_equal_mass,0,2,0,0.00044853053987026215,1,0,0,0,392,0.25
vsi_question_5084,74,flat_contiguous_4,positioned_group_mass,0,2,0,0.001608002930879593,1,0,0,0,392,0.25
vsi_question_5084,74,spatial_2x2,positioned_equal_mass,0,2,0,0.0018625995144248009,1,0,0,0,392,0.25
vsi_question_5084,74,spatial_2x2,positioned_group_mass,0,2,0,0.00044853053987026215,1,0,0,0,392,0.25
vsi_question_1569,75,flat_contiguous_4,positioned_equal_mass,0,1,0,0.0634717047214508,1,0,0,0,392,0.25
vsi_question_1569,75,flat_contiguous_4,positioned_group_mass,0,1,0,0.01977546513080597,1,0,0,0,392,0.25
vsi_question_1569,75,spatial_2x2,positioned_equal_mass,0,1,0,0.08706576377153397,1,0,0,0,392,0.25
vsi_question_1569,75,spatial_2x2,positioned_group_mass,0,1,0,0.006549888290464878,1,0,0,0,392,0.25
vsi_question_3722,76,flat_contiguous_4,positioned_equal_mass,1,0,1,0.0,1,0,0,0,392,0.25
vsi_question_3722,76,flat_contiguous_4,positioned_group_mass,1,0,1,0.0019117817282676697,1,0,0,0,392,0.25
vsi_question_3722,76,spatial_2x2,positioned_equal_mass,1,0,0,0.007751889526844025,0,0,1,0,392,0.25
vsi_question_3722,76,spatial_2x2,positioned_group_mass,1,0,0,0.007751889526844025,0,0,1,0,392,0.25
vsi_question_5105,77,flat_contiguous_4,positioned_equal_mass,0,2,0,0.0062502119690179825,1,0,0,0,392,0.25
vsi_question_5105,77,flat_contiguous_4,positioned_group_mass,0,2,0,0.0022529475390911102,1,0,0,0,392,0.25
vsi_question_5105,77,spatial_2x2,positioned_equal_mass,0,2,0,0.012161388993263245,1,0,0,0,392,0.25
vsi_question_5105,77,spatial_2x2,positioned_group_mass,0,2,0,0.0010944036766886711,1,0,0,0,392,0.25
vsi_question_2957,78,flat_contiguous_4,positioned_equal_mass,0,3,3,0.1220017671585083,0,0,1,0,392,0.25
vsi_question_2957,78,flat_contiguous_4,positioned_group_mass,0,3,2,0.1598443239927292,0,0,0,0,392,0.25
vsi_question_2957,78,spatial_2x2,positioned_equal_mass,0,3,0,0.049297451972961426,1,0,0,0,392,0.25
vsi_question_2957,78,spatial_2x2,positioned_group_mass,0,3,3,0.12329190969467163,0,0,1,0,392,0.25
vsi_question_1880,79,flat_contiguous_4,positioned_equal_mass,1,2,2,0.019178107380867004,0,0,1,0,392,0.25
vsi_question_1880,79,flat_contiguous_4,positioned_group_mass,1,2,1,0.00512189045548439,1,0,0,0,392,0.25
vsi_question_1880,79,spatial_2x2,positioned_equal_mass,1,2,2,0.05028223991394043,0,0,1,0,392,0.25
vsi_question_1880,79,spatial_2x2,positioned_group_mass,1,2,1,0.015605159103870392,1,0,0,0,392,0.25
vsi_question_1053,80,flat_contiguous_4,positioned_equal_mass,1,1,1,0.03716348856687546,1,1,1,0,392,0.25
vsi_question_1053,80,flat_contiguous_4,positioned_group_mass,1,1,1,0.056364670395851135,1,1,1,0,392,0.25
vsi_question_1053,80,spatial_2x2,positioned_equal_mass,1,1,1,0.03523930534720421,1,1,1,0,392,0.25
vsi_question_1053,80,spatial_2x2,positioned_group_mass,1,1,1,0.0019037574529647827,1,1,1,0,392,0.25
