sample_id,group_index,frame_index,residual_energy,query_score,target_gradient_risk,selected_by_residual,selected_by_query,selected_by_risk
vsi_question_1320,0,0,51.06230926513672,0.03691950812935829,0.0,0,1,0
vsi_question_1320,1,0,112.61691284179688,0.014285657554864883,0.005408428609371185,1,0,1
vsi_question_1320,2,0,96.72171020507812,0.027607949450612068,0.0021994467824697495,1,1,0
vsi_question_1320,3,0,73.69677734375,0.03992319107055664,0.0,0,1,0
vsi_question_1320,4,0,90.84468841552734,0.014691799879074097,0.0014903271803632379,0,0,0
vsi_question_1320,5,0,92.5460205078125,-0.0005450854077935219,0.005552275571972132,0,0,1
vsi_question_1320,6,0,120.1013412475586,0.017933273687958717,0.047587800770998,1,0,1
vsi_question_1320,7,0,55.42666244506836,0.02292794920504093,0.0,0,1,0
vsi_question_1320,8,0,128.6195526123047,-0.001624549739062786,0.032338690012693405,1,0,1
vsi_question_1320,9,0,105.63119506835938,-0.0075140828266739845,0.0005547035834752023,1,0,0
vsi_question_1320,10,0,57.36663818359375,0.03994250297546387,0.0,0,1,0
vsi_question_1320,11,0,109.15375518798828,0.00028614606708288193,0.0,1,0,0
vsi_question_1320,12,0,119.14789581298828,-0.000256451778113842,0.003416097490116954,1,0,0
vsi_question_1320,13,0,81.9021987915039,0.0028276927769184113,0.0,0,0,0
vsi_question_1320,14,0,53.60847091674805,-0.00894070789217949,0.011247511021792889,0,0,1
vsi_question_1320,15,0,86.90097045898438,-0.02458152547478676,0.0012576525332406163,0,0,0
vsi_question_1320,16,0,94.65225982666016,-0.009630161337554455,0.009272227995097637,1,0,1
vsi_question_1320,17,0,82.2045669555664,0.01948409341275692,0.004797136411070824,0,0,0
vsi_question_1320,18,0,101.27291107177734,-0.014507525600492954,0.0,1,0,0
vsi_question_1320,19,0,113.83655548095703,-0.008101051673293114,0.0029735995922237635,1,0,0
vsi_question_1320,20,0,129.3555450439453,0.01981588453054428,0.0021425290033221245,1,0,0
vsi_question_1320,21,0,75.16278076171875,-0.008206532336771488,0.005014564376324415,0,0,0
vsi_question_1320,22,0,118.52786254882812,-0.015192311257123947,0.007599367294460535,1,0,1
vsi_question_1320,23,0,92.6633071899414,-0.007971441373229027,0.0014518568059429526,0,0,0
vsi_question_1320,24,0,74.8294448852539,0.002844792790710926,0.011755372397601604,0,0,1
vsi_question_1320,25,0,143.83375549316406,-0.0056290412321686745,0.005149720702320337,1,0,1
vsi_question_1320,26,0,127.28640747070312,-0.015493420884013176,0.004557745065540075,1,0,0
vsi_question_1320,27,0,64.83889770507812,0.0018565449863672256,0.0022794343531131744,0,0,0
vsi_question_1320,28,0,103.33721160888672,0.002649960108101368,0.005831333342939615,1,0,1
