sample_id,method,teacher_index,answer_index,approximate_index,minimum_margin,feature_relative_l2,candidate_kl,maximum_normalized_adverse_shift,prediction_match,harmful,beneficial
vsi_question_3132,source_pca_r456,0,1,0,0.0,0.15781106054782867,0.004450732842087746,0.3333333432674408,1,0,0
vsi_question_3132,target_pca_r456,0,1,0,0.0,0.16088519990444183,0.0025066137313842773,0.1666666716337204,1,0,0
vsi_question_3132,vsi_pca_train96_r456,0,1,3,0.0,0.1489327847957611,0.004338529892265797,2.5,0,0,0
vsi_question_3132,pooled3_pca_r456,0,1,0,0.0,0.15025290846824646,0.0025066137313842773,0.1666666716337204,1,0,0
vsi_question_3132,cmrq_risk_atoms32_r456,0,1,0,0.0,0.1550873965024948,0.0010822098702192307,0.1666666716337204,1,0,0
vsi_question_3132,feature_only_null_atoms32_r456,0,1,0,0.0,0.15043644607067108,0.0025066137313842773,0.1666666716337204,1,0,0
vsi_question_3132,random_null_atoms32_r456,0,1,0,0.0,0.15520095825195312,0.004450732842087746,0.3333333432674408,1,0,0
vsi_question_3132,permuted_risk_null_atoms32_r456,0,1,0,0.0,0.15523362159729004,0.0025066137313842773,0.1666666716337204,1,0,0
vsi_question_3132,risk_only_r456,0,1,1,0.0,0.689379096031189,0.07104283571243286,2.5,0,0,1
vsi_question_5084,source_pca_r456,0,2,0,0.625,0.1540815234184265,0.0017584857996553183,0.20000000298023224,1,0,0
vsi_question_5084,target_pca_r456,0,2,0,0.625,0.15865366160869598,0.00032367417588829994,0.0,1,0,0
vsi_question_5084,vsi_pca_train96_r456,0,2,0,0.625,0.14026671648025513,0.0017584857996553183,0.20000000298023224,1,0,0
vsi_question_5084,pooled3_pca_r456,0,2,0,0.625,0.14453235268592834,0.0023081256076693535,0.20000000298023224,1,0,0
vsi_question_5084,cmrq_risk_atoms32_r456,0,2,0,0.625,0.14954335987567902,0.0023081256076693535,0.20000000298023224,1,0,0
vsi_question_5084,feature_only_null_atoms32_r456,0,2,0,0.625,0.14433994889259338,0.0017584857996553183,0.20000000298023224,1,0,0
vsi_question_5084,random_null_atoms32_r456,0,2,0,0.625,0.14966893196105957,0.00032367417588829994,0.0,1,0,0
vsi_question_5084,permuted_risk_null_atoms32_r456,0,2,0,0.625,0.14969229698181152,0.00032367417588829994,0.0,1,0,0
vsi_question_5084,risk_only_r456,0,2,0,0.625,0.6950371265411377,0.0071205394342541695,0.4000000059604645,1,0,0
vsi_question_1569,source_pca_r456,0,1,0,1.625,0.15689243376255035,0.0,0.0,1,0,0
vsi_question_1569,target_pca_r456,0,1,0,1.625,0.1612643301486969,0.0030820444226264954,0.1111111119389534,1,0,0
vsi_question_1569,vsi_pca_train96_r456,0,1,0,1.625,0.13567639887332916,0.0006017887499183416,0.0555555559694767,1,0,0
vsi_question_1569,pooled3_pca_r456,0,1,0,1.625,0.1428774893283844,0.0014234529808163643,0.07692307978868484,1,0,0
vsi_question_1569,cmrq_risk_atoms32_r456,0,1,0,1.625,0.14766277372837067,0.0,0.0,1,0,0
vsi_question_1569,feature_only_null_atoms32_r456,0,1,0,1.625,0.14193610846996307,0.0014234529808163643,0.07692307978868484,1,0,0
vsi_question_1569,random_null_atoms32_r456,0,1,0,1.625,0.14778922498226166,0.0014234529808163643,0.07692307978868484,1,0,0
vsi_question_1569,permuted_risk_null_atoms32_r456,0,1,0,1.625,0.14778344333171844,0.0,0.0,1,0,0
vsi_question_1569,risk_only_r456,0,1,0,1.625,0.6915909051895142,0.005812100600451231,0.1666666716337204,1,0,0
vsi_question_3722,source_pca_r456,1,0,1,0.375,0.162189319729805,0.0,0.0,1,0,0
vsi_question_3722,target_pca_r456,1,0,1,0.375,0.16783462464809418,0.0,0.0,1,0,0
