sample_id,sample_position,layer_index,head_index,exact_group_count,visual_relative_l2,certificate_relative,certificate_valid,remaining_group_count
vsi_question_3132,73,0,0,0,0.14716219902038574,nan,0,392
vsi_question_3132,73,0,1,0,0.18396730720996857,nan,0,392
vsi_question_3132,73,0,2,0,0.19454358518123627,nan,0,392
vsi_question_3132,73,0,3,0,0.2997520864009857,nan,0,392
vsi_question_3132,73,0,4,0,0.10768679529428482,84.96481323242188,1,392
vsi_question_3132,73,0,5,0,0.18440748751163483,nan,0,392
vsi_question_3132,73,0,6,0,0.17484897375106812,nan,0,392
vsi_question_3132,73,0,7,0,0.2851429283618927,nan,0,392
vsi_question_3132,73,0,8,0,0.12294173240661621,251.1334228515625,1,392
vsi_question_3132,73,0,9,0,0.1641184240579605,137.03456115722656,1,392
vsi_question_3132,73,0,10,0,0.3029056489467621,nan,0,392
vsi_question_3132,73,0,11,0,0.1563871204853058,nan,0,392
vsi_question_3132,73,0,12,0,0.09342213720083237,44.85281753540039,1,392
vsi_question_3132,73,0,13,0,0.07054898142814636,19.264856338500977,1,392
vsi_question_3132,73,0,14,0,0.07896242290735245,nan,0,392
vsi_question_3132,73,0,15,0,0.459796279668808,nan,0,392
vsi_question_3132,73,0,16,0,0.0902574434876442,nan,0,392
vsi_question_3132,73,0,17,0,0.03894473612308502,nan,0,392
vsi_question_3132,73,0,18,0,0.07890783995389938,nan,0,392
vsi_question_3132,73,0,19,0,0.09467225521802902,nan,0,392
vsi_question_3132,73,0,20,0,0.0817330926656723,nan,0,392
vsi_question_3132,73,0,21,0,0.12385782599449158,3378459.75,1,392
vsi_question_3132,73,0,22,0,0.08878982812166214,20.635961532592773,1,392
vsi_question_3132,73,0,23,0,0.19356749951839447,nan,0,392
vsi_question_3132,73,0,24,0,0.21840518712997437,nan,0,392
vsi_question_3132,73,0,25,0,0.11017395555973053,284.6114196777344,1,392
vsi_question_3132,73,0,26,0,0.17824365198612213,nan,0,392
vsi_question_3132,73,0,27,0,0.11433766037225723,197.7550811767578,1,392
vsi_question_3132,73,0,0,49,0.10606978088617325,nan,0,343
vsi_question_3132,73,0,1,49,0.05395589768886566,nan,0,343
vsi_question_3132,73,0,2,49,0.1375250518321991,nan,0,343
vsi_question_3132,73,0,3,49,0.06194643676280975,nan,0,343
vsi_question_3132,73,0,4,49,0.0625448152422905,51.384605407714844,1,343
vsi_question_3132,73,0,5,49,0.092418372631073,nan,0,343
vsi_question_3132,73,0,6,49,0.25073057413101196,nan,0,343
vsi_question_3132,73,0,7,49,0.2503167986869812,nan,0,343
vsi_question_3132,73,0,8,49,0.04132087901234627,135.09979248046875,1,343
vsi_question_3132,73,0,9,49,0.10161834955215454,98.89130401611328,1,343
vsi_question_3132,73,0,10,49,0.19264690577983856,nan,0,343
