sample_id,method,teacher_index,answer_index,approximate_index,minimum_margin,feature_relative_l2,candidate_kl,maximum_normalized_adverse_shift,prediction_match,harmful,beneficial
vsi_question_5065,source_pca_r456,0,2,0,0.0,0.15038393437862396,0.001942664384841919,1.0,1,0,0
vsi_question_5065,target_pca_r456,0,2,0,0.0,0.15225228667259216,0.0013396283611655235,0.5,1,0,0
vsi_question_5065,vsi_pca_train96_r456,0,2,0,0.0,0.13344067335128784,0.0013396283611655235,0.5,1,0,0
vsi_question_5065,pooled3_pca_r456,0,2,0,0.0,0.13835768401622772,0.0013396283611655235,0.5,1,0,0
vsi_question_5065,cmrq_risk_atoms32_r456,0,2,0,0.0,0.14300110936164856,0.0,0.0,1,0,0
vsi_question_5065,feature_only_null_atoms32_r456,0,2,0,0.0,0.1379697620868683,0.001521422527730465,0.0,1,0,0
vsi_question_5065,random_null_atoms32_r456,0,2,0,0.0,0.14313632249832153,0.0013396283611655235,0.5,1,0,0
vsi_question_5065,permuted_risk_null_atoms32_r456,0,2,0,0.0,0.14311587810516357,0.001942664384841919,1.0,1,0,0
vsi_question_5065,risk_only_r456,0,2,0,0.0,0.6787776947021484,0.0019526490941643715,0.0,1,0,0
vsi_question_3680,source_pca_r456,0,1,0,0.75,0.1570504605770111,0.0011624768376350403,0.125,1,0,0
vsi_question_3680,target_pca_r456,0,1,0,0.75,0.1630726009607315,0.000803876668214798,0.0,1,0,0
vsi_question_3680,vsi_pca_train96_r456,0,1,0,0.75,0.13222530484199524,0.001891440711915493,0.1666666716337204,1,0,0
vsi_question_3680,pooled3_pca_r456,0,1,0,0.75,0.14147226512432098,0.000803876668214798,0.0,1,0,0
vsi_question_3680,cmrq_risk_atoms32_r456,0,1,0,0.75,0.14643467962741852,0.000803876668214798,0.0,1,0,0
vsi_question_3680,feature_only_null_atoms32_r456,0,1,0,0.75,0.14049680531024933,0.000803876668214798,0.0,1,0,0
vsi_question_3680,random_null_atoms32_r456,0,1,0,0.75,0.1465822011232376,0.000803876668214798,0.0,1,0,0
vsi_question_3680,permuted_risk_null_atoms32_r456,0,1,0,0.75,0.14657412469387054,0.000803876668214798,0.0,1,0,0
vsi_question_3680,risk_only_r456,0,1,0,0.75,0.7096862196922302,0.004877589177340269,0.25,1,0,0
vsi_question_2070,source_pca_r456,2,0,3,0.0,0.15671437978744507,0.0016802381724119186,2.5,0,0,0
