mode,sample_id,sample_position,flat_candidate_kl,spatial_candidate_kl,spatial_minus_flat_kl,spatial_kl_win,flat_prediction_match,spatial_prediction_match,flat_harmful,spatial_harmful
positioned_equal_mass,vsi_question_3132,73,0.034279122948646545,0.12112538516521454,0.086846262216568,0,0,0,0,0
positioned_equal_mass,vsi_question_5084,74,0.00044853053987026215,0.0018625995144248009,0.0014140689745545387,0,1,1,0,0
positioned_equal_mass,vsi_question_1569,75,0.0634717047214508,0.08706576377153397,0.02359405905008316,0,1,1,0,0
positioned_equal_mass,vsi_question_3722,76,0.0,0.007751889526844025,0.007751889526844025,0,1,0,0,0
positioned_equal_mass,vsi_question_5105,77,0.0062502119690179825,0.012161388993263245,0.005911177024245262,0,1,1,0,0
positioned_equal_mass,vsi_question_2957,78,0.1220017671585083,0.049297451972961426,-0.07270431518554688,1,0,1,0,0
positioned_equal_mass,vsi_question_1880,79,0.019178107380867004,0.05028223991394043,0.031104132533073425,0,0,0,0,0
positioned_equal_mass,vsi_question_1053,80,0.03716348856687546,0.03523930534720421,-0.0019241832196712494,1,1,1,0,0
positioned_equal_mass,vsi_question_1039,81,0.060313254594802856,0.04139447957277298,-0.018918775022029877,1,0,0,0,0
positioned_equal_mass,vsi_question_5150,82,0.007930472493171692,0.001847495324909687,-0.006082977168262005,1,1,1,0,0
positioned_equal_mass,vsi_question_5067,83,0.0148715078830719,0.011641807854175568,-0.003229700028896332,1,1,1,0,0
positioned_equal_mass,vsi_question_1976,84,0.05227077007293701,0.03179965168237686,-0.02047111839056015,1,1,1,0,0
positioned_equal_mass,vsi_question_1077,85,0.03945982828736305,0.017413847148418427,-0.022045981138944626,1,0,0,1,1
positioned_equal_mass,vsi_question_3092,86,0.06044946610927582,0.09975654631853104,0.03930708020925522,0,1,1,0,0
positioned_equal_mass,vsi_question_5025,87,0.0015083616599440575,0.0019158534705638885,0.0004074918106198311,0,1,1,0,0
positioned_equal_mass,vsi_question_5074,88,0.0047396644949913025,0.011510752141475677,0.006771087646484375,0,1,1,0,0
positioned_equal_mass,vsi_question_5086,89,0.01716046780347824,0.006768825463950634,-0.010391642339527607,1,1,1,0,0
positioned_equal_mass,vsi_question_1058,90,0.03885657340288162,0.010950319468975067,-0.027906253933906555,1,1,1,0,0
positioned_equal_mass,vsi_question_994,91,0.013236910104751587,0.013213198632001877,-2.3711472749710083e-05,1,1,1,0,0
positioned_equal_mass,vsi_question_1950,92,0.05952385067939758,0.06184552237391472,0.0023216716945171356,0,1,1,0,0
positioned_equal_mass,vsi_question_2991,93,0.10426238179206848,0.5256101489067078,0.4213477671146393,0,1,0,0,1
positioned_equal_mass,vsi_question_1071,94,0.015352457761764526,0.0012567713856697083,-0.014095686376094818,1,1,1,0,0
positioned_equal_mass,vsi_question_1224,95,0.02280975505709648,0.02280975505709648,0.0,0,1,1,0,0
positioned_equal_mass,vsi_question_5089,96,0.008070548996329308,0.0007900181226432323,-0.007280530873686075,1,1,1,0,0
positioned_group_mass,vsi_question_3132,73,0.06192032992839813,0.09008243680000305,0.02816210687160492,0,0,1,0,0
positioned_group_mass,vsi_question_5084,74,0.001608002930879593,0.00044853053987026215,-0.0011594723910093307,1,1,1,0,0
positioned_group_mass,vsi_question_1569,75,0.01977546513080597,0.006549888290464878,-0.013225576840341091,1,1,1,0,0
positioned_group_mass,vsi_question_3722,76,0.0019117817282676697,0.007751889526844025,0.005840107798576355,0,1,0,0,0
positioned_group_mass,vsi_question_5105,77,0.0022529475390911102,0.0010944036766886711,-0.0011585438624024391,1,1,1,0,0
positioned_group_mass,vsi_question_2957,78,0.1598443239927292,0.12329190969467163,-0.036552414298057556,1,0,0,0,0
positioned_group_mass,vsi_question_1880,79,0.00512189045548439,0.015605159103870392,0.010483268648386002,0,1,1,0,0
